primaryName,film_count
Jennifer Coolidge,4
Dakota Johnson,4
Rita Ora,3
James Corden,3
Idris Elba,3
Jamie Dornan,3
Rob Schneider,3
Ice Cube,3
Victor Rasuk,3
Willem Dafoe,3
Carmen Electra,3
Eddie Griffin,3
Ashley Greene,3
Max Martini,3
Eloise Mumford,3
Taylor Lautner,3
Luke Grimes,3
Salma Hayek,2
Diedrich Bader,2
Kit Harington,2
Malcolm McDowell,2
Rip Torn,2
Francis Guinan,2
Samuel L. Jackson,2
Darrell Hammond,2
Akshay Kumar,2
Nicolas Cage,2
Demi Moore,2
Leelee Sobieski,2
Anna Faris,2
Justin Long,2
Adam Campbell,2
Rajpal Naurang Yadav,2
Jackson Rathbone,2
Marcia Gay Harden,2
Sanjay Dutt,2
Owen Wilson,2
Jackie Shroff,2
Lindsay Lohan,2
Byron Mann,2
Matt Lanter,2
Jennifer Ehle,2
James Remar,2
Mike Myers,2
Will Smith,2
Eddie Murphy,2
Billy Burke,2
Tony Cox,2
Rajesh Sharma,2
Ryan Hansen,2
T.J. Miller,2
Carla Gugino,2
Musetta Vander,2
Steven Wright,2
Robert Pattinson,2
Brad Dourif,2
Breckin Meyer,2
Frances Conroy,2
David Cross,2
Eric Johnson,2
Robert Joy,2
Saif Ali Khan,2
Kristen Stewart,2
Arnold Schwarzenegger,2
Will Ferrell,2
Mike Hagerty,2
Jack Black,2
Meagan Good,2
Crispin Glover,2
Jason Statham,2
Colleen Camp,2
Scarlett Johansson,2
Ashwini Kalsekar,2
Jane Adams,2
Terry Crews,2
Kal Penn,2
Arjun Kapoor,2
Adam Sandler,2
David Alan Grier,2
Fred Willard,2
Ranveer Singh,2
Sandra Bullock,1
Julianne Moore,1
Gary Oldman,1
Al Pacino,1
John Travolta,1
Danny DeVito,1
Gene Hackman,1
Michael Keaton,1
John Malkovich,1
Edward Asner,1
Toni Collette,1
Robert Forster,1
John Glover,1
Michael Gough,1
Bob Hoskins,1
Janet Jackson,1
Amanda Peet,1
M. Emmet Walsh,1
Ming-Na Wen,1
Kristin Davis,1
Alyson Hannigan,1
Lin Shaye,1
Luke Wilson,1
Scott Adkins,1
Thom Barry,1
Billy Boyd,1
Heather Burns,1
Michael Caton,1
Donald Faison,1
Christine Firkins,1
Amy Hill,1
Neil Hopkins,1
Heather Jocelyn Blair,1
Rya Kihlstedt,1
Kevin Kilner,1
Floyd Levine,1
Ted Levine,1
Sean Maguire,1
Jesse McCartney,1
Ty Olsson,1
Lidia Porto,1
Emmanuel Quatra,1
Michael Shannon,1
Steve Sleap,1
Amy Stiller,1
Holland Taylor,1
Sergej Trifunovic,1
Xzibit,1
Mohan Kapur,1
Claudia Katz Minnick,1
Zachary Levi,1
Joel Kinnaman,1
Prachee Shah,1
Miley Cyrus,1
Swaggybark,1
Rosemarie DeWitt,1
Manish Wadhwa,1
Olivia Thirlby,1
Jacob Latimore,1
Moe Dunford,1
Bridget Brown,1
Fatih Yasin,1
Dylan Morris,1
Tiger Shroff,1
Daniela Norman,1
Greg Kinnear,1
Oliver Platt,1
Fisher Stevens,1
Kari Wuhrer,1
Steve Zahn,1
Tara Reid,1
Reiko Aylesworth,1
Jamie Bell,1
Andrew Bryniarski,1
Robert John Burke,1
Dan Castellaneta,1
Reg E. Cathey,1
Damian Chapa,1
Kristin Chenoweth,1
Gary Cole,1
Allen Covert,1
Keith David,1
Mark Duplass,1
Ceyda Düvenci,1
Dimple Kapadia,1
Jaime King,1
Johnny Lewis,1
Mako,1
Brian McCardie,1
Melissa McCarthy,1
Tracy Morgan,1
Cheri Oteri,1
John Rhys-Davies,1
Hannah Spearritt,1
Octavia Spencer,1
Brian Thompson,1
Srdjan 'Zika' Todorovic,1
Frederique Van Der Wal,1
Shea Whigham,1
Katt Williams,1
Digger Mesch,1
Rob Blake,1
Jareb Dauplaise,1
Ariel Gade,1
Rachael Ray,1
Agastya Nanda,1
Liam Garrigan,1
Greg Ellery,1
Chris O'Dowd,1
Rudra Mahuvakar,1
Ana de Armas,1
Kristofer Hivju,1
Sunny Singh,1
Kimberly Cox,1
Mateusz Lasowski,1
Troye Sivan,1
Saxon Sharbino,1
Priyanka Bose,1
Gautam Gulati,1
