language,Avg_Rating_Last_5_Years,Avg_Rating_All_Time,Rating_Difference
en,6.39081339955988,6.409988056841229,-0.019174657281348928
ro,7.300000190734863,6.269565214281497,1.0304349764533667
uz,4.400000095367432,6.726470561588512,-2.32647046622108
ur,6.575999946594238,6.618888872861862,-0.04288892626762397
pl,4.650000095367432,5.862500011920929,-1.2124999165534973
sk,6.7,6.919354843233749,-0.21935484323374865
yi,5.3199999809265135,6.404255319148936,-1.0842553382224223
hy,6.5,6.049999994891031,0.4500000051089694
kk,7.539999961853027,6.672602758015672,0.8673972038373554
cmn,6.654573568929163,6.510951732164083,0.14362183676508078
pt,7.50633646269976,7.42298141920388,0.08335504349588074
gl,6.389473689229865,6.732738085445904,-0.3432643962160391
tl,6.124390241576404,6.596974081711398,-0.47258384013499377
ms,6.129090901938352,6.238810196307833,-0.10971929436948091
ko,6.437499940395355,6.6833332777023315,-0.24583333730697632
uk,7.400000095367432,6.633632292127396,0.7663678032400361
cs,6.1055555873447,6.763589744690137,-0.6580341573454369
yue,6.583015962169763,6.372330163149747,0.21068579902001616
mr,7.372727350755171,7.35182931074282,0.020898040012350627
sr,6.3500000003612405,6.509755335776241,-0.1597553354150003
tr,6.092279510630681,6.192897088016291,-0.10061757738560928
de,7.491547028655488,7.409907114532752,0.08163991412273663
es,7.428265857968644,7.335375477016869,0.0928903809517756
hr,6.614583343267441,6.46930147955815,0.14528186370929053
eu,6.648387078315981,6.603816793165134,0.044570285150847155
qbn,6.466666618982951,6.303419954318157,0.16324666466479432
it,7.505461772144274,7.422170162593762,0.08329160955051229
af,5.866666555404663,6.8300885057027365,-0.9634219502980734
kn,7.0274510009616025,6.884883743385936,0.14256725757566624
te,6.363768105921538,6.427377889885694,-0.06360978396415629
ar,6.366193163123998,6.686555295874414,-0.32036213275041625
sv,6.81351908663109,6.647206772124611,0.1663123145064791
nl,6.401999986648559,6.307014391219301,0.09498559542925822
bn,6.391489378949429,6.824274407213156,-0.43278502826372645
hu,6.300000190734863,6.658333321412404,-0.3583331306775408
ca,6.322100308621565,6.4291028771194245,-0.10700256849785994
gu,7.54705883474911,7.41643838359885,0.13062045115025978
hil,9.0,7.849999904632568,1.1500000953674316
ru,6.059322035469802,6.436485374149747,-0.3771633386799449
ml,6.410897475022536,6.373737387154869,0.037160087867667
ga,6.716666569312413,6.674626848590908,0.042039720721505525
th,6.673469378023731,6.682555771744517,-0.00908639372078568
mk,7.177777820163303,6.839506161065749,0.3382716590975541
fa,5.825835866406334,6.186949429594997,-0.3611135631886633
bg,6.399455781291131,6.31727198588017,0.08218379541096077
gsw,5.969999980926514,6.190740739857709,-0.22074075893119538
cy,6.9687498807907104,6.549056586229576,0.41969329456113424
hi,7.203091971000722,7.185708890379652,0.017383080621070413
bs,6.620000008174351,6.47965369131658,0.14034631685777121
ta,6.450624996423722,6.406479482001929,0.0441455144217926
mi,6.649999916553497,6.839682518489777,-0.18968260193627984
az,7.199999809265137,7.006060607505567,0.19393920175956936
fr,7.148770150901215,6.978934699552152,0.16983545134906297
ja,7.11783461562203,6.939162657684219,0.17867195793781132
id,6.598606288848439,6.5758333442387755,0.02277294460966317
gd,6.423076923076923,6.33461538874186,0.08846153433506299
la,6.264102556766608,6.522368403641801,-0.25826584687519283
qal,6.528571401323591,6.652941170860739,-0.1243697695371484
fi,5.699999809265137,6.741176450953764,-1.0411766416886277
lb,6.092857088361468,6.491428552355085,-0.3985714639936173
he,6.4640299764699884,6.661007801268583,-0.19697782479859427
jsl,6.800000190734863,6.800000190734863,0.0
pa,5.966666618982951,6.752173838408097,-0.7855072194251456
zh,7.300000190734863,6.499999947018093,0.8000002437167701
st,4.699999809265137,6.020000076293945,-1.3200002670288082
tn,4.699999809265137,6.5,-1.8000001907348633
xh,6.233333269755046,6.5800000667572025,-0.34666679700215663
wo,5.849999904632568,5.939999961853028,-0.09000005722045934
zu,4.699999809265137,6.784615443303035,-2.084615634037898
ps,6.066666603088379,6.685714244842529,-0.6190476417541504
sd,4.699999809265137,6.549999952316284,-1.8500001430511475
mn,5.766666730244954,6.100000023841858,-0.3333332935969038
su,5.599999904632568,5.599999904632568,0.0
