tconst,primaryTitle,startYear,genres,languages,numVotes,averageRating
tt28435593,Nimmellara Aashirvada,2023-01-01,"Comedy,Drama","hi,en",617,9.5
tt35313020,Interval,2025-01-01,Comedy,en,2042,9.5
tt34942632,Pratyartha,2025-01-01,"Comedy,Romance,Thriller",en,2065,9.4
tt22796670,Sarkari Baccha,2025-01-01,Comedy,en,550,9.4
tt5957750,Aikatsu Stars! Movie,2016-01-01,"Adventure,Animation,Comedy","ja,en",641,9.3
tt32415485,Mr Shudai,2024-01-01,Comedy,en,533,9.2
tt33496202,Ramnagar Bunny,2024-01-01,Comedy,en,2364,9.2
tt15513206,Nee Jathaga,2021-01-01,"Comedy,Drama,Romance","hi,en",763,9.2
tt28252581,Mr. Rani,2025-01-01,"Comedy,Drama",en,1577,9.2
tt28080602,90 Bidi Manig Nadi,2023-01-01,"Comedy,Crime","hi,en",551,9.2
tt21954370,Dhamaka,2022-01-01,Comedy,"hi,en",572,9.1
tt11032386,Damayana,2023-01-01,"Comedy,Drama","hi,en",536,9.1
tt33062754,Pailam Pilaga,2024-01-01,"Comedy,Drama",en,852,9.0
tt27426266,Gally Gang Stars,2024-01-01,"Action,Comedy,Crime",en,2011,9.0
tt36203068,Anaganaga Australia Lo,2025-01-01,"Action,Comedy,Crime",en,2066,9.0
tt32089590,Bhale Unnade,2024-01-01,Comedy,en,3133,9.0
tt28795815,Maa Oori Cinema,2023-01-01,"Comedy,Romance","hi,en",880,8.8
tt7466810,777 Charlie,2022-01-01,"Adventure,Comedy,Drama","ja,hi,fr,en,tr",42911,8.7
tt10384504,Present Laughter,2019-01-01,Comedy,"ja,en",663,8.7
tt15516780,Made in China,2022-01-01,"Comedy,Family",hi,743,8.7
tt3565744,Aikatsu! The Movie,2014-01-01,"Adventure,Animation,Comedy","ja,en",1470,8.7
tt23135090,Satvut Advut,2022-01-01,Comedy,"hi,en",599,8.7
tt7638556,Come from Away,2021-01-01,"Comedy,Drama,Musical","fr,en",4289,8.5
tt5691226,Pashupati Prasad,2016-01-01,"Comedy,Drama,Romance","hi,en",2649,8.5
